=== WINDOWS SERVICES ===
NAME                      STATE      VERSION              RISK       PATH
PcaSvc                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
PeerDistSvc               Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
perceptionsimulation      Stopped    10.0.26100.3323      Unknown    C:\WINDOWS\system32\PerceptionSimulation\PerceptionSimulationService.exe
PerfHost                  Stopped    10.0.26100.1         Unknown    C:\WINDOWS\SysWow64\perfhost.exe
PhoneSvc                  Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
pla                       Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
PlugPlay                  Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
PolicyAgent               Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
Power                     Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
PrintDeviceConfigurationService Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
PrintNotify               Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
PrintScanBrokerService    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
ProfSvc                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
PushToInstall             Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
QWAVE                     Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
RasAuto                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
RasMan                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
refsdedupsvc              Stopped    10.0.26100.3323      Unknown    C:\WINDOWS\System32\ReFsDedupSvc.exe
RegSrvc                   Running    Path not found       Unknown    C:\Program
RemoteAccess              Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
RemoteRegistry            Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
RetailDemo                Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
RmSvc                     Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
RpcEptMapper              Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
RpcLocator                Stopped    10.0.26100.1         Unknown    C:\WINDOWS\system32\locator.exe
